Position,Players,Matches Played,Not Out,Runs,Highest Score,Average,Strike Rate,100s,50s,4s,6s,Ducks
1,Deepti Sharma,8,5,295,88,98.33,136.57,0,3,34,8,0
2,Ellyse Perry,9,4,347,66,69.40,125.72,0,2,41,7,0
3,Harmanpreet Kaur,7,2,268,95,53.60,141.05,0,2,30,8,1
4,Beth Mooney,8,2,285,85,47.50,141.08,0,3,38,5,1
5,Richa Ghosh,10,3,257,62,42.83,141.98,0,2,31,10,0
6,Jemimah Rodrigues,9,3,235,69,39.16,153.59,0,2,26,8,2
7,Shafali Verma,9,1,309,71,38.62,156.85,0,3,27,20,0
8,Meg Lanning,9,0,331,60,36.77,123.04,0,4,47,4,0
9,Amelia Kerr,9,3,215,40,35.83,129.51,0,0,23,3,0
10,Sabbhineni Meghana,7,1,168,53,33.60,112.75,0,1,20,3,0
