Position,Players,Matches Played,Not Outs,Runs,Highest Score,Average,Strike Rate,100s,50s,4s,6s,Ducks
1,Meg Lanning,9,0,331,60,36.77,123.04,0,4,47,4,0
2,Ellyse Perry,9,4,347,66,69.4,125.72,0,2,41,7,0
3,Smriti Mandhana,10,0,300,80,30,133.92,0,2,40,10,0
4,Beth Mooney,8,2,285,85,47.5,141.08,0,3,38,5,1
5,Deepti Sharma,8,5,295,88,98.33,136.57,0,3,34,8,0
6,Richa Ghosh,10,3,257,62,42.83,141.98,0,2,31,10,0
7,Harmanpreet Kaur,7,2,268,95,53.6,141.05,0,2,30,8,1
8,Yastika Bhatia,7,2,204,57,25.5,121.42,0,1,30,6,0
9,Laura Wolvaardt,6,0,167,76,27.83,129.45,0,1,29,1,1
10,Alice Capsey,9,0,230,75,28.75,125.68,0,1,29,6,2
