Position,Players,Matches,Not Out,Runs,Highest Score,Average,Strike Rate,100s,50s,4s,6s,Ducks
1,Meg Lanning,9,0,331,60,36.77,123.04,0,4,47,4,0
2,Deepti Sharma,8,5,295,88,98.33,136.57,0,3,34,8,0
3,Beth Mooney,8,2,285,85,47.5,141.08,0,3,38,5,1
4,Shafali Verma,9,1,309,71,38.62,156.85,0,3,27,20,0
5,Harmanpreet Kaur,7,2,268,95,53.6,141.05,0,2,30,8,1
6,Ellyse Perry,9,4,347,66,69.4,125.72,0,2,41,7,0
7,Richa Ghosh,10,3,257,62,42.83,141.98,0,2,31,10,0
8,Jemimah Rodrigues,9,3,235,69,39.16,153.59,0,2,26,8,2
9,Smriti Mandhana,10,0,300,80,30,133.92,0,2,40,10,0
10,Sabbhineni Meghana,7,1,168,53,33.6,112.75,0,1,20,3,0
