Position,Players,Matches Played,Not Outs,Runs,Highest Score,Average,Strike Rate,100s,50s,4s,6s,Ducks
1,Georgia Wareham,10,1,111,48,22.2,163.23,0,0,12,3,1
2,Sajeevan Sajana,9,3,87,30,29,158.18,0,0,13,3,0
3,Shafali Verma,9,1,309,71,38.62,156.85,0,3,27,20,0
4,Jemimah Rodrigues,9,3,235,69,39.16,153.59,0,2,26,8,2
5,Shikha Pandey,9,2,23,14,23,153.33,0,0,3,0,0
6,Kiran Navgire,8,0,110,57,13.75,146.66,0,1,11,7,1
7,Jess Jonassen,7,2,66,36,16.5,143.47,0,0,5,4,0
8,Richa Ghosh,10,3,257,62,42.83,141.98,0,2,31,10,0
9,Beth Mooney,8,2,285,85,47.5,141.08,0,3,38,5,1
10,Harmanpreet Kaur,7,2,268,95,53.6,141.05,0,2,30,8,1
