Position,Players,Matches Played,Not Outs,Runs,Highest Score,Average,Strike Rate,100s,50s,4s,6s,Ducks
1,Shafali Verma,9,1,309,71,38.62,156.85,0,3,27,20,0
2,Richa Ghosh,10,3,257,62,42.83,141.98,0,2,31,10,0
3,Smriti Mandhana,10,0,300,80,30,133.92,0,2,40,10,0
4,Harmanpreet Kaur,7,2,268,95,53.6,141.05,0,2,30,8,1
5,Deepti Sharma,8,5,295,88,98.33,136.57,0,3,34,8,0
6,Jemimah Rodrigues,9,3,235,69,39.16,153.59,0,2,26,8,2
7,Grace Harris,8,2,188,60,31.33,136.23,0,1,23,7,0
8,Kiran Navgire,8,0,110,57,13.75,146.66,0,1,11,7,1
9,Ellyse Perry,9,4,347,66,69.4,125.72,0,2,41,7,0
10,Sophie Devine,10,1,136,32,15.11,125.92,0,0,13,7,0
