Position,Players,Overs,Maidens,Best Bowling Innings,VS,Economy,Strike Rate
1,Ellyse Perry,4,0,6/15,Mumbai Indians,3.75,4.00
2,Asha Shobana,4,0,5/22,UP Warriorz,5.50,4.80
3,Shreyanka Patil,3.3,0,4/12,Delhi Capitals,3.42,5.25
4,Amelia Kerr,4,0,4/17,Gujarat Giants,4.25,6.00
5,Deepti Sharma,4,0,4/19,Delhi Capitals,4.75,6.00
6,Radha Yadav,4,0,4/20,UP Warriorz,5.00,6.00
7,Shreyanka Patil,4,0,4/26,Delhi Capitals,6.50,6.00
8,Meghna Singh,4,0,4/37,Delhi Capitals,9.25,6.00
9,Marizanne Kapp,4,1,3/5,UP Warriorz,1.25,8.00
10,Shabnam Shakil,4,0,3/11,UP Warriorz,2.75,8.00
