Position,Players,Matches Played,Overs,Maidens,Runs,Wickets,Best Bowling Figures,Average,Economy,Strike Rate,3 Wickets Haul,5 Wickets Haul
1,Sajeevan Sajana,9,2,0,23,2,1/11,11.50,11.50,6.00,0,0
2,Shreyanka Patil,8,21.3,0,157,13,4/12,12.07,7.30,9.92,2,0
3,Alice Capsey,9,8,0,49,4,2/23,12.25,6.12,12.00,0,0
4,Issy Wong,2,6,0,50,3,2/30,16.66,8.33,12.00,0,0
5,Nadine de Klerk,1,4,0,35,2,2/35,17.50,8.75,12.00,0,0
6,Asha Shobana,10,26,0,185,12,5/22,15.41,7.11,13.00,0,1
7,Jess Jonassen,7,25,0,181,11,3/21,16.45,7.24,13.63,3,0
8,Ellyse Perry,9,16,0,109,7,6/15,15.57,6.81,13.71,0,1
9,Radha Yadav,9,25,0,187,10,4/20,18.70,7.48,15.00,2,0
10,Marizanne Kapp,7,28,2,176,11,3/5,16.00,6.28,15.27,1,0
