Position,Players,Overs,Runs,Wickets,Dots,Strike Rate,Against
1,Marizanne Kapp,4,5,3,19,8.00,UP Warriorz
2,Shabnim Ismail,4,6,1,19,24.00,UP Warriorz
3,Shabnam Shakil,4,11,3,19,8.00,UP Warriorz
4,Renuka Singh,4,14,2,18,12.00,Gujarat Giants
5,Ellyse Perry,4,15,6,18,4.00,Mumbai Indians
6,Marizanne Kapp,4,17,2,18,12.00,Gujarat Giants
7,Shabnim Ismail,4,19,1,18,24.00,Royal Challengers Bangalore
8,Sophie Ecclestone,4,15,1,17,24.00,Delhi Capitals
9,Sophie Devine,4,12,0,16,-,Gujarat Giants
10,Shabnim Ismail,4,18,3,15,8.00,Gujarat Giants
