Position,Player,Points,Matches,Wickets,Dots,4s,6s,Catches,Run Outs,Stumpings
1,Deepti Sharma,214.5,8,10,59,34,8,3,0,0
2,Ellyse Perry,201,9,7,47,41,7,1,0,0
3,Natalie Sciver-Brunt,186,9,10,75,26,1,3,0,0
4,Hayley Matthews,177,9,7,66,29,4,0,0,0
5,Sophie Molineux,168.5,10,12,92,10,0,2,2,0
6,Grace Harris,160.5,8,4,49,23,7,5,2,0
7,Marizanne Kapp,157.5,7,11,85,6,4,2,0,0
8,Sophie Devine,152.5,10,6,67,13,7,3,0,0
9,Amelia Kerr,151,9,7,51,23,3,3,0,0
10,Richa Ghosh,151,10,0,0,31,10,3,4,10
11,Shafali Verma,150.5,9,0,0,27,20,4,2,0
12,Ashleigh Gardner,149.5,8,7,68,14,3,4,1,0
13,Smriti Mandhana,146.5,10,0,0,40,10,4,1,0
14,Sophie Ecclestone,144.5,8,11,88,1,1,3,3,0
15,Jess Jonassen,138,7,11,61,5,4,3,3,0
16,Meg Lanning,136.5,9,0,0,47,4,2,0,0
17,Georgia Wareham,136,10,7,56,12,3,6,0,0
18,Shikha Pandey,136,9,9,88,3,0,3,1,0
19,Alice Capsey,133.5,9,4,21,29,6,2,0,0
20,Shabnim Ismail,132.5,7,8,97,1,0,2,0,0
